price,predict
539.95,-0.00790134
548.95,-0.000649356
542.5,0.000227846
547.5,0.000508376
546.4,0.005604148
557.34,-0.002818918
562.2,-0.003085655
554.8,0.005911954
542.95,-0.004412133
557.8,0.002997491
554.49,-0.002328192
559.4,0.006806429
558.6,0.008056288
563.4,4.89E-05
560.65,-0.000420738
559.5,0.006749565
568.35,0.000503418
568.9,-0.004188381
569.35,0.012842056
572.2,-0.012299643
568.9,0.006941132
569.9,0.000436589
548.45,0.006672571
551.45,-0.006319602
564.4,2.24E-05
551,0.001369693
540.35,-0.004312853
547.55,0.001327786
539.95,-0.004339326
548.15,0.002519898
552.1,-0.003144662
555.84,-0.00098181
554.35,-0.004438856
555.2,-0.000758586
548.84,0.001187487
559.05,-0.00431149
553.95,-0.001821213
561.55,0.003656946
562.95,-0.009672163
569.85,-0.003806293
565.4,-0.002465587
555.35,-0.005520705
552.7,-0.007009746
543.55,-0.004936401
546.05,0.001199139
541.05,-0.000515015
545.9,-0.003965065
551.05,0.006141128
552.95,-0.005145303
555.4,-0.010044542
554.1,-0.012039137
554.9,0.008645475
552.1,-0.008072141
550.8,-0.002254691
549.8,0.002804029
560.13,-0.001731451
567.3,-0.012543143
563.6,-0.002343529
573.6,0.009732688
588.65,-0.001450304
583.65,0.001991137
587.85,-0.001232638
586.7,-0.003909569
588.5,-0.013433679
595.3,0.003919318
588.85,-0.001990076
599.75,0.005360795
593.41,-0.004928447
598.38,0.00290735
596.47,-0.006386719
602.99,0.001577095
613.47,0.00342659
621.07,-0.006736699
640.2,0.003783598
612.5,-0.009965442
633.97,-0.001319899
620.7,0.000314137
630.3,-0.001678139
638.63,0.005753748
633.63,0.003663339
654.42,-0.002131269
655.1,-0.000196731
668.8,-0.001362259
667,-0.014654668
679.7,-0.0071288
683.8,-0.005670411
678.7,-0.004748254
700.9,-0.002910153
707.9,-0.002293682
714.3,-0.009605821
714.8,-0.001739528
677.4,-0.013278972
690.4,-0.0062527
687.1,-0.011632949
682.3,0.003036253
657.6,-0.016093352
656.05,-0.012205416
666.5,-0.002866206
640.7,0.004156183
650.9,-0.004271708
653.7,0.014453909
647.77,-0.002924068
652.9,0.001475855
645.2,0.00707773
629.6,-0.006548641
638.2,-0.00418902
637.15,0.004217076
630.65,-0.006389192
626.45,-0.002077572
613.25,-0.004026485
607.45,0.010613654
604.25,-0.003505476
562.05,-0.006824565
559.75,-0.008058789
577.05,-0.005710297
581.15,-0.016071007
565.25,-0.007138542
575.85,-0.005216662
587.55,0.000624313
580.65,0.004673618
583.05,-0.008386388
585.25,0.001659139
579.05,-0.001141257
580.15,-0.000746317
599.65,0.006205438
615.85,-0.000977089
623.49,-0.005332171
