Time,price
2005/11/16,479.3
2005/11/17,486
2005/11/18,485.8
2005/11/19,485.8
2005/11/20,485.8
2005/11/21,491.76
2005/11/22,494.58
2005/11/23,492.5
2005/11/24,493.49
2005/11/25,496.08
2005/11/26,496.08
2005/11/27,496.08
2005/11/28,498.7
2005/11/29,499.8
2005/11/30,493.08
2005/12/1,503.9
2005/12/2,503.38
2005/12/3,503.38
2005/12/4,503.38
2005/12/5,509.4
2005/12/6,511.4
2005/12/7,515.2
2005/12/8,521.13
2005/12/9,526.4
2005/12/10,526.4
2005/12/11,526.4
2005/12/12,528
2005/12/13,518.7
2005/12/14,506.5
2005/12/15,502.98
2005/12/16,503.24
2005/12/17,503.24
2005/12/18,503.24
2005/12/19,503.8
2005/12/20,492.25
2005/12/21,495.33
2005/12/22,504.33
2005/12/23,502.8
2005/12/24,502.8
2005/12/25,502.8
2005/12/26,505.13
2005/12/27,507.9
2005/12/28,516.6
2005/12/29,516.9
2005/12/30,517
2005/12/31,517
2006/1/1,517
2006/1/2,516.88
2006/1/3,534.15
2006/1/4,534.4
2006/1/5,524.8
2006/1/6,539.95
2006/1/7,539.95
2006/1/8,539.95
2006/1/9,548.95
2006/1/10,542.5
2006/1/11,547.5
2006/1/12,546.4
2006/1/13,557.34
2006/1/14,557.34
2006/1/15,557.34
2006/1/16,562.2
2006/1/17,554.8
2006/1/18,542.95
2006/1/19,557.8
2006/1/20,554.49
2006/1/21,554.49
2006/1/22,554.49
2006/1/23,559.4
2006/1/24,558.6
2006/1/25,563.4
2006/1/26,560.65
2006/1/27,559.5
2006/1/28,559.5
2006/1/29,559.5
2006/1/30,568.35
2006/1/31,568.9
2006/2/1,569.35
2006/2/2,572.2
2006/2/3,568.9
2006/2/4,568.9
2006/2/5,568.9
2006/2/6,569.9
2006/2/7,548.45
2006/2/8,551.45
2006/2/9,564.4
2006/2/10,551
2006/2/11,551
2006/2/12,551
2006/2/13,540.35
2006/2/14,547.55
2006/2/15,539.95
2006/2/16,548.15
2006/2/17,552.1
2006/2/18,552.1
2006/2/19,552.1
2006/2/20,555.84
2006/2/21,554.35
2006/2/22,555.2
2006/2/23,548.84
2006/2/24,559.05
2006/2/25,559.05
2006/2/26,559.05
2006/2/27,553.95
2006/2/28,561.55
2006/3/1,562.95
2006/3/2,569.85
2006/3/3,565.4
2006/3/4,565.4
2006/3/5,565.4
2006/3/6,555.35
2006/3/7,552.7
2006/3/8,543.55
2006/3/9,546.05
2006/3/10,541.05
2006/3/11,541.05
2006/3/12,541.05
2006/3/13,545.9
2006/3/14,551.05
2006/3/15,552.95
2006/3/16,555.4
2006/3/17,554.1
2006/3/18,554.1
2006/3/19,554.1
2006/3/20,554.9
2006/3/21,552.1
2006/3/22,550.8
2006/3/23,549.8
2006/3/24,560.13
2006/3/25,560.13
2006/3/26,560.13
2006/3/27,567.3
